stock_id,date,target_date,future_return,IVOL,size
000001,2023-01-31,2023-02-28,-0.012,0.031,15.20
000001,2023-02-28,2023-03-31,0.018,0.028,15.24
000001,2023-03-31,2023-04-30,-0.006,0.034,15.19
000001,2023-04-30,2023-05-31,0.011,0.026,15.27
000001,2023-05-31,2023-06-30,0.007,0.025,15.31
000001,2023-06-30,2023-07-31,-0.004,0.030,15.29
000002,2023-01-31,2023-02-28,0.009,0.022,14.80
000002,2023-02-28,2023-03-31,-0.015,0.036,14.76
000002,2023-03-31,2023-04-30,0.013,0.024,14.84
000002,2023-04-30,2023-05-31,-0.008,0.033,14.79
000002,2023-05-31,2023-06-30,0.016,0.021,14.88
000002,2023-06-30,2023-07-31,0.005,0.023,14.91
